,FileName,Package,DataClumps,MessageChains,MiddleMan,SpeculativeGenerality,SwitchStatements,MessageChains,blank,comment,code,codeLines,NumberFaults
1,src/org/argouml/application/api/AbstractArgoJPanel.java,app,0,0,0,1,0,0,32,129,83,83,0
2,src/org/argouml/application/api/Argo.java,app,0,2,0,0,0,0,59,245,114,114,0
3,src/org/argouml/application/api/ArgoEventListener.java,app,0,0,0,1,0,0,4,29,4,4,0
4,src/org/argouml/application/api/CommandLineInterface.java,app,0,0,0,0,0,0,3,40,4,4,0
5,src/org/argouml/application/api/GUISettingsTabInterface.java,app,0,0,0,0,0,0,10,69,10,10,0
6,src/org/argouml/application/api/InitSubsystem.java,app,0,0,0,0,0,0,8,57,8,8,0
7,src/org/argouml/application/api/Predicate.java,app,0,0,0,1,0,0,2,29,4,4,0
8,src/org/argouml/application/ArgoVersion.java,app,0,0,1,0,0,0,5,45,10,10,0
9,src/org/argouml/application/events/ArgoDiagramAppearanceEvent.java,app,0,0,0,0,0,0,5,37,9,9,0
10,src/org/argouml/application/events/ArgoDiagramAppearanceEventListener.java,app,0,0,0,0,0,0,5,33,5,5,0
11,src/org/argouml/application/events/ArgoEvent.java,app,0,1,0,0,0,0,9,56,22,22,0
12,src/org/argouml/application/events/ArgoEventPump.java,app,0,0,0,0,0,0,55,131,285,285,1
13,src/org/argouml/application/events/ArgoEventTypes.java,app,0,0,0,1,0,0,44,143,41,41,0
14,src/org/argouml/application/events/ArgoGeneratorEvent.java,app,0,0,0,0,0,0,5,36,7,7,0
15,src/org/argouml/application/events/ArgoGeneratorEventListener.java,app,0,0,0,1,0,0,8,41,7,7,0
16,src/org/argouml/application/events/ArgoHelpEvent.java,app,0,0,0,0,0,0,6,43,15,15,0
17,src/org/argouml/application/events/ArgoHelpEventListener.java,app,0,0,0,0,0,0,5,40,6,6,0
18,src/org/argouml/application/events/ArgoNotationEvent.java,app,0,0,0,0,0,0,5,36,7,7,0
19,src/org/argouml/application/events/ArgoNotationEventListener.java,app,0,0,0,0,0,0,10,51,9,9,0
20,src/org/argouml/application/events/ArgoProfileEvent.java,app,0,0,0,0,0,0,4,38,7,7,0
21,src/org/argouml/application/events/ArgoProfileEventListener.java,app,0,0,0,1,0,0,4,37,6,6,0
22,src/org/argouml/application/events/ArgoStatusEvent.java,app,0,0,0,0,0,0,6,44,15,15,0
23,src/org/argouml/application/events/ArgoStatusEventListener.java,app,0,0,0,1,0,0,8,59,9,9,0
24,src/org/argouml/application/helpers/ApplicationVersion.java,app,0,0,0,0,0,0,5,42,13,13,1
25,src/org/argouml/application/helpers/ResourceLoader.java,app,0,0,0,0,0,0,23,98,120,120,0
26,src/org/argouml/application/helpers/ResourceLoaderWrapper.java,app,0,2,0,0,0,2,42,126,307,307,0
27,src/org/argouml/application/Main.java,app,0,5,1,0,0,2,124,248,613,613,0
28,src/org/argouml/application/security/ArgoAwtExceptionHandler.java,app,0,0,0,0,0,0,5,46,8,8,0
29,src/org/argouml/application/StartCritics.java,app,0,1,0,0,0,1,6,33,52,52,0
30,src/org/argouml/application/SubsystemUtility.java,app,0,1,0,0,0,1,5,35,23,23,0
31,src/org/argouml/cognitive/AbstractCognitiveTranslator.java,app,0,0,0,1,0,0,3,36,5,5,0
32,src/org/argouml/cognitive/Agency.java,app,0,0,0,0,0,0,34,192,187,187,1
33,src/org/argouml/cognitive/checklist/CheckItem.java,app,0,0,0,1,0,0,25,122,42,42,1
34,src/org/argouml/cognitive/checklist/Checklist.java,app,0,1,1,0,0,0,20,76,58,58,0
35,src/org/argouml/cognitive/checklist/ChecklistStatus.java,app,0,0,1,0,0,0,11,47,18,18,0
36,src/org/argouml/cognitive/checklist/CheckManager.java,app,0,1,0,0,0,0,20,87,50,50,0
37,src/org/argouml/cognitive/checklist/ui/InitCheckListUI.java,app,0,0,1,0,0,0,10,30,23,23,0
38,src/org/argouml/cognitive/checklist/ui/TabChecklist.java,app,1,5,1,10,0,1,61,147,257,257,0
39,src/org/argouml/cognitive/CompoundCritic.java,app,0,0,0,7,0,0,38,139,121,121,1
40,src/org/argouml/cognitive/ControlMech.java,app,0,0,0,0,0,0,10,38,4,4,0
41,src/org/argouml/cognitive/Critic.java,app,1,4,0,18,0,0,118,625,342,342,2
42,src/org/argouml/cognitive/critics/SnoozeOrder.java,app,0,0,0,0,0,0,19,87,48,48,0
43,src/org/argouml/cognitive/critics/ui/ActionOpenCritics.java,app,0,0,0,0,0,0,10,33,18,18,0
44,src/org/argouml/cognitive/critics/ui/CriticBrowserDialog.java,app,1,4,0,4,0,0,58,78,366,366,0
45,src/org/argouml/cognitive/critics/ui/TableCritics.java,app,0,7,1,0,0,0,15,38,65,65,0
46,src/org/argouml/cognitive/critics/ui/TableModelCritics.java,app,0,0,1,2,0,0,19,71,124,124,0
47,src/org/argouml/cognitive/critics/Wizard.java,app,0,0,0,2,0,0,33,152,86,86,0
48,src/org/argouml/cognitive/critics/WizardItem.java,app,0,0,0,1,0,0,6,34,4,4,0
49,src/org/argouml/cognitive/Decision.java,app,0,0,0,0,0,0,13,81,41,41,0
50,src/org/argouml/cognitive/DecisionModel.java,app,0,0,0,0,0,0,15,86,53,53,0
51,src/org/argouml/cognitive/Designer.java,app,0,0,1,8,0,0,125,431,409,409,1
52,src/org/argouml/cognitive/Goal.java,app,0,0,0,0,0,0,19,73,30,30,0
53,src/org/argouml/cognitive/GoalModel.java,app,0,0,0,0,0,0,18,81,44,44,0
54,src/org/argouml/cognitive/Highlightable.java,app,0,0,0,0,0,0,4,37,5,5,0
55,src/org/argouml/cognitive/ListSet.java,app,0,0,1,0,0,0,61,249,270,270,1
56,src/org/argouml/cognitive/Offender.java,app,0,0,0,1,0,0,4,42,4,4,0
57,src/org/argouml/cognitive/Poster.java,app,0,0,0,0,0,0,21,108,17,17,0
58,src/org/argouml/cognitive/ResolvedCritic.java,app,1,0,0,0,0,0,39,127,141,141,0
59,src/org/argouml/cognitive/StandardCM.java,app,0,0,1,2,0,0,17,82,65,65,0
60,src/org/argouml/cognitive/ToDoItem.java,app,0,1,0,1,0,0,71,277,209,209,0
61,src/org/argouml/cognitive/ToDoList.java,app,0,2,0,1,0,0,79,309,380,380,0
62,src/org/argouml/cognitive/ToDoListEvent.java,app,0,0,0,0,0,0,10,43,19,19,0
63,src/org/argouml/cognitive/ToDoListListener.java,app,0,0,0,0,0,0,9,40,7,7,0
64,src/org/argouml/cognitive/Translator.java,app,0,0,1,0,0,0,7,43,15,15,0
65,src/org/argouml/cognitive/ui/AbstractGoList.java,app,0,0,0,1,0,0,10,44,18,18,0
66,src/org/argouml/cognitive/ui/ActionAutoCritique.java,app,0,0,0,0,0,0,12,38,25,25,0
67,src/org/argouml/cognitive/ui/ActionGoToCritique.java,app,0,1,0,0,0,1,9,39,22,22,0
68,src/org/argouml/cognitive/ui/ActionNewToDoItem.java,app,0,0,0,0,0,0,8,33,22,22,0
69,src/org/argouml/cognitive/ui/ActionOpenDecisions.java,app,0,0,1,0,0,0,10,36,17,17,0
70,src/org/argouml/cognitive/ui/ActionOpenGoals.java,app,0,0,1,0,0,0,9,33,17,17,0
71,src/org/argouml/cognitive/ui/ActionResolve.java,app,0,0,0,0,0,0,7,32,14,14,0
72,src/org/argouml/cognitive/ui/ActionSnooze.java,app,0,0,0,0,0,0,8,33,18,18,0
73,src/org/argouml/cognitive/ui/AddToDoItemDialog.java,app,0,3,0,0,0,1,24,39,124,124,0
74,src/org/argouml/cognitive/ui/DesignIssuesDialog.java,app,0,1,0,0,0,1,39,43,150,150,0
75,src/org/argouml/cognitive/ui/DismissToDoItemDialog.java,app,0,0,1,6,0,0,39,47,160,160,0
76,src/org/argouml/cognitive/ui/GoalsDialog.java,app,0,1,0,0,0,1,37,71,96,96,0
77,src/org/argouml/cognitive/ui/GoListToDecisionsToItems.java,app,0,2,0,4,0,2,24,67,85,85,0
