6183,2
49199,2
71080,2
162983,2
772,3
907,3
1156,3
2724,3
9643,3
10430,3
49458,3
64283,3
65208,3
71647,3
118181,3
150962,3
160588,3
191372,3
204584,3
3656,6
27856,6
43463,6
207387,6
749,10
785,10
4439,10
5580,10
6142,10
6156,10
6373,10
7060,10
7826,10
8927,10
9451,10
9697,10
9844,10
10531,10
10556,10
10939,10
11777,10
11887,10
12758,10
15887,10
15918,10
53086,10
84693,10
93584,10
100638,10
146163,10
171127,10
196453,10
173,14
880,14
2299,14
3938,14
5856,14
7479,14
17462,14
160169,14
167821,14
172197,14
10,23
772,23
9230,23
9790,23
9918,23
9929,23
21115,23
45156,23
196254,23
204584,23
10,25
88,25
755,25
772,25
829,25
952,25
957,25
92299,25
178783,25
186712,25
189908,25
65,26
1156,26
5676,26
43568,26
64283,26
92299,26
150374,26
196497,26
6,27
10,27
274,27
952,27
1253,27
6142,27
9790,27
10156,27
21115,27
45433,27
116766,27
153414,27
168915,27
170905,27
182902,27
204584,27
207468,27
210691,27
215085,27
41942,29
51177,29
94666,29
219397,29
11271,30
28025,30
28680,30
169640,30
191372,30
195918,30
199283,30
207454,30
11795,31
47517,31
66880,31
82802,31
123637,31
125481,31
154353,31
171785,31
172799,31
180164,31
219506,31
33687,32
169594,32
171328,32
180221,32
186380,32
2712,33
18525,33
20532,33
28975,33
33511,33
39429,33
42387,33
43044,33
43434,33
44496,33
48387,33
52041,33
52901,33
59469,33
64283,33
67893,33
70650,33
70968,33
72174,33
72701,33
77174,33
80166,33
81565,33
104135,33
105404,33
105904,33
109846,33
127527,33
134991,33
146209,33
151968,33
152185,33
153215,33
155050,33
159711,33
159756,33
169414,33
169668,33
169847,33
169901,33
170020,33
170717,33
172397,33
172474,33
173780,33
174616,33
174921,33
187676,33
187881,33
188136,33
192689,33
192905,33
193838,33
193895,33
196038,33
197541,33
197820,33
198061,33
199415,33
199757,33
200771,33
203810,33
206522,33
210268,33
211464,33
215496,33
171690,34
5900,36
6971,36
