release.version.revision-className,faulty,WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC
0.4.0-org.apache.hadoop.conf.Configurable,0,2,1,0,9,2,1,2,2
0.4.0-org.apache.hadoop.conf.Configuration,1,37,1,1,66,132,564,31,1091
0.4.0-org.apache.hadoop.conf.Configured,0,3,1,1,3,4,1,3,17
0.4.0-org.apache.hadoop.dfs.AlreadyBeingCreatedException,0,1,4,0,1,2,0,1,5
0.4.0-org.apache.hadoop.dfs.Block,0,18,2,0,24,39,57,15,199
0.4.0-org.apache.hadoop.dfs.BlockCommand,0,15,2,0,12,33,5,12,310
0.4.0-org.apache.hadoop.dfs.ClientProtocol,0,21,1,0,10,21,210,21,21
0.4.0-org.apache.hadoop.dfs.DataNode,1,44,4,0,51,231,182,17,2194
0.4.0-org.apache.hadoop.dfs.DatanodeID,0,4,1,0,10,71,0,2,920
0.4.0-org.apache.hadoop.dfs.DatanodeInfo,0,8,2,2,12,27,0,8,130
0.4.0-org.apache.hadoop.dfs.DatanodeProtocol,1,18,0,0,23,45,99,16,233
0.4.0-org.apache.hadoop.dfs.DatanodeRegistration,0,7,2,0,8,9,11,6,16
0.4.0-org.apache.hadoop.dfs.DataNodeReport,0,8,0,0,10,21,10,6,114
0.4.0-org.apache.hadoop.dfs.DataStorage,0,2,1,0,3,4,1,1,9
0.4.0-org.apache.hadoop.dfs.DFSck,1,18,2,0,5,44,17,18,300
0.4.0-org.apache.hadoop.dfs.DFSClient,0,93,5,0,51,318,523,64,3146
0.4.0-org.apache.hadoop.dfs.DFSFileInfo,0,16,1,0,18,96,0,7,1012
0.4.0-org.apache.hadoop.dfs.dfshealth_jsp,0,14,1,0,15,41,31,12,178
0.4.0-org.apache.hadoop.dfs.DfsPath,0,2,1,0,3,4,1,1,9
0.4.0-org.apache.hadoop.dfs.DFSShell,1,7,0,0,5,47,1,7,476
0.4.0-org.apache.hadoop.dfs.DistributedFileSystem,1,7,0,0,5,14,0,7,43
0.4.0-org.apache.hadoop.dfs.FSConstants,1,21,0,0,10,71,0,12,995
0.4.0-org.apache.hadoop.dfs.FSDataset,1,38,1,0,24,93,0,34,544
0.4.0-org.apache.hadoop.dfs.FSDirectory,0,26,2,0,17,84,62,20,768
0.4.0-org.apache.hadoop.dfs.FSNamesystem,1,123,6,0,50,402,1234,66,6404
0.4.0-org.apache.hadoop.dfs.IncorrectVersionException,0,11,1,0,3,29,0,11,185
0.4.0-org.apache.hadoop.dfs.LeaseExpiredException,0,2,1,0,4,18,0,1,107
0.4.0-org.apache.hadoop.dfs.LocatedBlock,0,2,8,0,3,8,0,2,38
0.4.0-org.apache.hadoop.dfs.NameNode,1,4,1,0,8,24,0,3,116
0.4.0-org.apache.hadoop.dfs.NotReplicatedYetException,0,3,1,0,3,14,0,2,54
0.4.0-org.apache.hadoop.dfs.UnregisteredDatanodeException,0,3,1,0,3,10,0,2,40
0.4.0-org.apache.hadoop.fs.ChecksumException,0,3,1,0,5,35,3,1,242
0.4.0-org.apache.hadoop.fs.DF,1,4,1,0,10,50,6,2,369
0.4.0-org.apache.hadoop.fs.FileSystem,1,9,1,0,18,53,7,6,279
0.4.0-org.apache.hadoop.fs.FileUtil,0,2,0,0,9,20,0,2,179
0.4.0-org.apache.hadoop.fs.FSDataInputStream,1,40,6,0,26,139,205,18,1337
0.4.0-org.apache.hadoop.fs.FSDataOutputStream,0,22,0,2,50,200,21,9,1683
0.4.0-org.apache.hadoop.fs.FSError,0,68,0,2,61,107,2270,66,708
0.4.0-org.apache.hadoop.fs.FSInputStream,0,2,1,0,3,4,1,1,16
0.4.0-org.apache.hadoop.fs.FSOutputStream,0,2,1,0,3,6,0,1,22
0.4.0-org.apache.hadoop.fs.LocalFileSystem,1,24,9,0,31,68,53,16,618
0.4.0-org.apache.hadoop.fs.Path,1,7,3,0,8,37,0,5,328
0.4.0-org.apache.hadoop.fs.PathFilter,0,4,3,0,3,7,0,4,39
0.4.0-org.apache.hadoop.fs.Seekable,0,7,4,0,21,14,21,3,96
0.4.0-org.apache.hadoop.io.ArrayFile,0,46,0,0,21,127,445,46,724
0.4.0-org.apache.hadoop.io.ArrayWritable,0,15,1,1,56,34,33,13,399
0.4.0-org.apache.hadoop.io.BooleanWritable,0,2,2,0,7,2,0,2,2
0.4.0-org.apache.hadoop.io.BytesWritable,1,16,1,0,10,57,45,5,717
0.4.0-org.apache.hadoop.io.Closeable,0,17,0,0,18,85,74,4,909
0.4.0-org.apache.hadoop.io.CompressedWritable,0,3,1,0,2,4,3,2,8
0.4.0-org.apache.hadoop.io.DataInputBuffer,0,4,0,2,16,32,2,2,192
0.4.0-org.apache.hadoop.io.DataOutputBuffer,0,20,0,0,36,107,18,15,1060
0.4.0-org.apache.hadoop.io.FloatWritable,0,10,0,0,29,67,4,10,448
0.4.0-org.apache.hadoop.io.IntWritable,0,11,0,0,8,44,27,8,546
0.4.0-org.apache.hadoop.io.LongWritable,0,9,0,0,14,26,1,7,104
0.4.0-org.apache.hadoop.io.MapFile,0,26,2,0,9,50,14,23,341
0.4.0-org.apache.hadoop.io.MD5Hash,0,16,1,0,5,33,1,14,208
0.4.0-org.apache.hadoop.io.NullWritable,0,1,1,0,3,1,0,1,1
0.4.0-org.apache.hadoop.io.ObjectWritable,0,12,5,0,8,32,9,8,137
0.4.0-org.apache.hadoop.io.SequenceFile,1,57,8,3,44,144,58,47,852
0.4.0-org.apache.hadoop.io.SetFile,0,42,3,4,33,131,90,36,1322
0.4.0-org.apache.hadoop.io.TwoDArrayWritable,0,9,1,0,7,23,14,7,213
0.4.0-org.apache.hadoop.io.UTF8,0,7,1,0,7,15,1,7,80
0.4.0-org.apache.hadoop.io.VersionedWritable,0,3,1,0,9,5,1,0,37
0.4.0-org.apache.hadoop.io.Writable,0,24,1,0,26,72,150,14,754
0.4.0-org.apache.hadoop.io.WritableComparable,0,20,1,0,13,41,126,9,269
0.4.0-org.apache.hadoop.io.WritableComparator,0,3,1,0,10,22,0,3,92
0.4.0-org.apache.hadoop.io.WritableFactories,0,3,1,0,12,34,0,3,206
0.4.0-org.apache.hadoop.io.WritableFactory,0,6,0,0,13,34,0,4,159
0.4.0-org.apache.hadoop.io.WritableName,0,5,1,0,6,20,0,2,96
0.4.0-org.apache.hadoop.io.WritableUtils,1,28,2,0,33,104,73,13,1117
0.4.0-org.apache.hadoop.ipc.Client,0,44,0,0,59,203,32,25,2416
0.4.0-org.apache.hadoop.ipc.RemoteException,0,6,0,0,6,29,13,5,139
0.4.0-org.apache.hadoop.ipc.RPC,1,19,0,2,18,63,16,17,346
0.4.0-org.apache.hadoop.ipc.Server,0,40,3,0,57,109,64,34,1004
0.4.0-org.apache.hadoop.mapred.ClusterStatus,0,6,2,0,45,13,4,4,50
0.4.0-org.apache.hadoop.mapred.CombiningCollector,0,7,1,0,2,20,5,4,131
0.4.0-org.apache.hadoop.mapred.FileSplit,1,15,1,0,9,46,103,14,392
0.4.0-org.apache.hadoop.mapred.getMapOutput_jsp,0,2,2,0,2,4,1,0,10
0.4.0-org.apache.hadoop.mapred.InputFormat,0,3,1,0,4,9,1,0,31
0.4.0-org.apache.hadoop.mapred.InputFormatBase,0,14,1,0,13,43,43,5,302
0.4.0-org.apache.hadoop.mapred.InterTrackerProtocol,0,4,1,1,7,8,6,3,55
0.4.0-org.apache.hadoop.mapred.JobClient,1,8,5,0,14,64,1,5,405
0.4.0-org.apache.hadoop.mapred.JobConf,1,2,3,0,3,6,0,1,29
0.4.0-org.apache.hadoop.mapred.JobConfigurable,0,3,0,0,4,5,0,2,28
0.4.0-org.apache.hadoop.mapred.jobdetails_jsp,0,5,1,0,3,8,0,2,53
0.4.0-org.apache.hadoop.mapred.jobfailures_jsp,0,2,4,0,5,3,0,2,13
0.4.0-org.apache.hadoop.mapred.JobInProgress,1,22,2,0,24,58,65,14,338
0.4.0-org.apache.hadoop.mapred.JobProfile,0,5,1,0,17,41,1,5,193
0.4.0-org.apache.hadoop.mapred.JobStatus,0,28,2,1,16,54,208,7,294
0.4.0-org.apache.hadoop.mapred.JobSubmissionProtocol,0,13,1,0,7,56,28,5,337
0.4.0-org.apache.hadoop.mapred.jobtasks_jsp,0,3,2,0,6,52,1,2,292
0.4.0-org.apache.hadoop.mapred.JobTracker,1,29,7,0,33,160,44,20,1187
0.4.0-org.apache.hadoop.mapred.jobtracker_jsp,0,10,0,0,9,32,31,6,303
0.4.0-org.apache.hadoop.mapred.lib.HashPartitioner,0,8,1,0,3,8,28,8,8
0.4.0-org.apache.hadoop.mapred.lib.IdentityMapper,0,10,1,0,10,18,15,6,102
0.4.0-org.apache.hadoop.mapred.lib.IdentityReducer,0,2,1,0,3,4,1,1,9
0.4.0-org.apache.hadoop.mapred.lib.InverseMapper,0,4,1,0,9,25,0,4,136
0.4.0-org.apache.hadoop.mapred.lib.LongSumReducer,0,10,1,0,14,24,0,9,103
0.4.0-org.apache.hadoop.mapred.lib.RegexMapper,0,3,0,0,9,33,3,3,214
0.4.0-org.apache.hadoop.mapred.lib.TokenCountMapper,0,3,1,0,11,3,3,3,3
0.4.0-org.apache.hadoop.mapred.LocalJobRunner,1,15,2,2,17,41,45,10,333
0.4.0-org.apache.hadoop.mapred.machines_jsp,0,16,0,0,21,91,74,13,690
0.4.0-org.apache.hadoop.mapred.MapFileOutputFormat,0,80,1,0,44,152,2194,75,1181
0.4.0-org.apache.hadoop.mapred.MapOutputFile,0,1,1,0,6,1,0,1,1
0.4.0-org.apache.hadoop.mapred.MapOutputLocation,0,11,0,0,16,90,11,6,831
0.4.0-org.apache.hadoop.mapred.Mapper,0,27,1,0,25,120,103,22,1498
0.4.0-org.apache.hadoop.mapred.MapReduceBase,0,2,1,0,2,4,1,1,31
0.4.0-org.apache.hadoop.mapred.MapRunnable,0,11,1,0,15,21,19,9,130
0.4.0-org.apache.hadoop.mapred.MapRunner,0,2,1,0,3,4,1,1,9
0.4.0-org.apache.hadoop.mapred.MapTask,0,25,3,0,36,74,52,22,566
0.4.0-org.apache.hadoop.mapred.MapTaskRunner,0,43,1,0,36,173,551,31,1813
0.4.0-org.apache.hadoop.mapred.MRConstants,0,6,1,0,6,33,0,4,201
0.4.0-org.apache.hadoop.mapred.OutputCollector,0,3,1,0,2,17,0,3,126
0.4.0-org.apache.hadoop.mapred.OutputFormat,0,3,1,0,3,11,0,3,77
0.4.0-org.apache.hadoop.mapred.OutputFormatBase,0,3,1,0,3,16,0,3,121
0.4.0-org.apache.hadoop.mapred.Partitioner,0,3,1,0,4,5,3,3,14
0.4.0-org.apache.hadoop.mapred.RecordReader,0,2,0,0,6,4,1,2,11
0.4.0-org.apache.hadoop.mapred.RecordWriter,0,2,0,0,7,8,1,2,26
0.4.0-org.apache.hadoop.mapred.Reducer,0,3,0,0,9,14,1,3,48
0.4.0-org.apache.hadoop.mapred.ReduceTask,0,39,3,0,52,166,118,28,1062
0.4.0-org.apache.hadoop.mapred.ReduceTaskRunner,0,27,6,8,56,65,28,22,301
0.4.0-org.apache.hadoop.mapred.Reporter,0,1,1,0,6,1,0,1,1
0.4.0-org.apache.hadoop.mapred.RunningJob,0,3,1,0,8,11,1,3,67
0.4.0-org.apache.hadoop.mapred.SequenceFileInputFormat,0,13,0,0,27,54,32,10,281
0.4.0-org.apache.hadoop.mapred.SequenceFileOutputFormat,0,4,2,0,10,10,1,2,53
0.4.0-org.apache.hadoop.mapred.SequenceFileRecordReader,0,4,1,0,5,13,0,3,64
0.4.0-org.apache.hadoop.mapred.StatusHttpServer,1,3,0,0,8,14,0,3,45
0.4.0-org.apache.hadoop.mapred.Task,0,10,2,0,9,46,10,5,300
0.4.0-org.apache.hadoop.mapred.taskdetails_jsp,0,3,1,0,3,26,0,2,114
0.4.0-org.apache.hadoop.mapred.TaskInProgress,1,0,1,0,3,0,0,0,4
0.4.0-org.apache.hadoop.mapred.TaskReport,0,1,1,0,19,1,0,1,1
0.4.0-org.apache.hadoop.mapred.TaskRunner,0,5,2,3,16,14,4,5,42
0.4.0-org.apache.hadoop.mapred.TaskStatus,0,1,1,0,7,1,0,1,1
0.4.0-org.apache.hadoop.mapred.TaskTracker,1,33,5,0,93,151,85,25,875
0.4.0-org.apache.hadoop.mapred.tasktracker_jsp,0,5,0,0,8,16,8,4,92
0.4.0-org.apache.hadoop.mapred.TaskTrackerStatus,0,4,3,0,9,16,0,2,69
0.4.0-org.apache.hadoop.mapred.TaskUmbilicalProtocol,0,8,1,0,7,20,12,7,154
0.4.0-org.apache.hadoop.mapred.TextInputFormat,0,7,0,0,19,29,9,6,127
