release.version.revision-className,faulty,WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC
0.6.0-org.apache.hadoop.conf.Configuration,0,45,1,1,101,160,840,37,1
0.6.0-org.apache.hadoop.conf.Configured,0,3,1,2,4,4,1,3,1
0.6.0-org.apache.hadoop.dfs.AlreadyBeingCreatedException,0,1,1,0,1,2,0,0,1
0.6.0-org.apache.hadoop.dfs.Block,0,16,5,0,29,33,41,15,1
0.6.0-org.apache.hadoop.dfs.BlockCommand,0,14,2,0,12,29,1,12,1
0.6.0-org.apache.hadoop.dfs.browseBlock_jsp,0,2,1,0,3,4,1,1,2
0.6.0-org.apache.hadoop.dfs.browseDirectory_jsp,0,6,0,0,9,61,9,5,2
0.6.0-org.apache.hadoop.dfs.ClientProtocol,0,5,0,0,11,62,8,4,3
0.6.0-org.apache.hadoop.dfs.DatanodeDescriptor,0,2,1,0,6,32,0,2,4
0.6.0-org.apache.hadoop.dfs.DatanodeID,0,4,1,0,12,79,0,2,7
0.6.0-org.apache.hadoop.dfs.DatanodeInfo,0,13,1,0,14,39,1,3,7
0.6.0-org.apache.hadoop.dfs.DatanodeProtocol,0,13,1,2,9,23,8,13,8
0.6.0-org.apache.hadoop.dfs.DatanodeRegistration,0,14,1,2,29,37,13,9,8
0.6.0-org.apache.hadoop.dfs.DataNodeReport,0,5,1,0,6,5,10,5,9
0.6.0-org.apache.hadoop.dfs.DataStorage,1,7,0,0,10,16,3,6,9
0.6.0-org.apache.hadoop.dfs.DFSck,0,4,1,0,4,8,2,3,9
0.6.0-org.apache.hadoop.dfs.DFSClient,0,94,6,0,52,296,489,64,9
0.6.0-org.apache.hadoop.dfs.DFSFileInfo,0,26,0,0,23,143,4,16,9
0.6.0-org.apache.hadoop.dfs.dfshealth_jsp,0,2,1,0,4,13,0,1,9
0.6.0-org.apache.hadoop.dfs.DfsPath,0,13,1,0,16,37,18,12,9
0.6.0-org.apache.hadoop.dfs.DFSShell,1,2,1,0,3,4,1,1,10
0.6.0-org.apache.hadoop.dfs.DistributedFileSystem,0,7,0,0,6,46,5,7,10
0.6.0-org.apache.hadoop.dfs.FSConstants,0,7,0,0,5,14,0,7,10
0.6.0-org.apache.hadoop.dfs.FSDataset,1,75,2,0,45,213,46,57,12
0.6.0-org.apache.hadoop.dfs.FSDirectory,0,18,2,0,14,68,5,6,12
0.6.0-org.apache.hadoop.dfs.FSEditLog,0,9,1,0,4,30,0,1,12
0.6.0-org.apache.hadoop.dfs.FSImage,0,29,1,0,14,103,178,16,12
0.6.0-org.apache.hadoop.dfs.FSNamesystem,0,124,6,0,65,420,1471,50,12
0.6.0-org.apache.hadoop.dfs.IncorrectVersionException,0,2,1,0,1,6,0,1,15
0.6.0-org.apache.hadoop.dfs.JspHelper,1,11,1,0,3,29,0,11,15
0.6.0-org.apache.hadoop.dfs.LeaseExpiredException,0,2,1,0,4,18,0,1,16
0.6.0-org.apache.hadoop.dfs.LocatedBlock,0,9,5,0,13,67,20,8,17
0.6.0-org.apache.hadoop.dfs.nn_005fbrowsedfscontent_jsp,0,3,1,0,3,13,0,2,17
0.6.0-org.apache.hadoop.dfs.NotReplicatedYetException,0,4,1,0,3,12,0,3,22
0.6.0-org.apache.hadoop.dfs.StreamFile,0,37,1,0,23,116,0,35,22
0.6.0-org.apache.hadoop.dfs.tail_jsp,0,5,1,0,3,8,0,0,24
0.6.0-org.apache.hadoop.dfs.UnregisteredDatanodeException,0,4,0,0,3,34,4,4,24
0.6.0-org.apache.hadoop.fs.ChecksumException,0,2,4,0,4,9,1,2,24
0.6.0-org.apache.hadoop.fs.DF,0,2,1,0,1,7,1,2,24
0.6.0-org.apache.hadoop.fs.FileSystem,0,11,0,0,42,85,3,10,25
0.6.0-org.apache.hadoop.fs.FileUtil,1,3,1,0,5,42,3,2,25
0.6.0-org.apache.hadoop.fs.FSDataOutputStream,0,43,6,2,38,156,210,20,25
0.6.0-org.apache.hadoop.fs.FSError,0,2,0,0,7,33,1,2,26
0.6.0-org.apache.hadoop.fs.FSInputStream,0,2,0,0,7,33,0,2,28
0.6.0-org.apache.hadoop.fs.FSOutputStream,0,12,0,0,16,85,2,3,28
0.6.0-org.apache.hadoop.fs.LocalFileSystem,0,73,1,2,83,140,2274,69,28
0.6.0-org.apache.hadoop.fs.Path,0,2,1,0,3,6,0,1,29
0.6.0-org.apache.hadoop.fs.PathFilter,0,11,1,0,11,44,55,7,29
0.6.0-org.apache.hadoop.fs.Seekable,0,11,4,0,18,19,17,6,31
0.6.0-org.apache.hadoop.io.ArrayFile,0,6,7,4,24,9,4,5,31
0.6.0-org.apache.hadoop.io.ArrayWritable,0,6,0,3,14,20,13,4,31
0.6.0-org.apache.hadoop.io.BooleanWritable,0,40,0,0,17,111,445,40,32
0.6.0-org.apache.hadoop.io.BytesWritable,0,21,1,1,69,53,33,19,34
0.6.0-org.apache.hadoop.io.Closeable,0,1,1,0,4,1,0,1,35
0.6.0-org.apache.hadoop.io.compress.CompressionCodec,0,1,1,0,3,1,0,1,36
0.6.0-org.apache.hadoop.io.compress.CompressionCodecFactory,0,11,0,0,9,44,43,5,37
0.6.0-org.apache.hadoop.io.compress.CompressionInputStream,0,5,1,0,1,16,2,0,37
0.6.0-org.apache.hadoop.io.compress.CompressionOutputStream,0,16,0,0,20,81,54,4,38
0.6.0-org.apache.hadoop.io.compress.DefaultCodec,0,21,1,2,41,101,7,14,38
0.6.0-org.apache.hadoop.io.compress.GzipCodec,0,27,0,0,52,150,40,24,39
0.6.0-org.apache.hadoop.io.CompressedWritable,0,2,0,0,2,4,1,2,42
0.6.0-org.apache.hadoop.io.DataInputBuffer,0,15,1,0,6,28,1,14,43
0.6.0-org.apache.hadoop.io.DataOutputBuffer,0,13,3,0,31,74,27,11,47
0.6.0-org.apache.hadoop.io.FloatWritable,0,10,4,2,17,15,13,8,47
0.6.0-org.apache.hadoop.io.IntWritable,0,12,1,2,12,23,6,11,52
0.6.0-org.apache.hadoop.io.LongWritable,0,12,8,1,6,24,2,11,53
0.6.0-org.apache.hadoop.io.MapFile,0,8,5,0,10,16,8,7,53
0.6.0-org.apache.hadoop.io.MD5Hash,0,5,5,0,4,11,4,4,56
0.6.0-org.apache.hadoop.io.NullWritable,0,5,0,0,12,48,8,3,60
0.6.0-org.apache.hadoop.io.ObjectWritable,1,4,1,0,9,18,6,2,60
0.6.0-org.apache.hadoop.io.SequenceFile,1,79,20,3,74,180,36,66,62
0.6.0-org.apache.hadoop.io.SetFile,0,41,3,4,33,128,70,36,63
0.6.0-org.apache.hadoop.io.TwoDArrayWritable,0,5,1,0,5,9,0,5,65
0.6.0-org.apache.hadoop.io.UTF8,0,11,2,0,34,27,53,6,66
0.6.0-org.apache.hadoop.io.VersionedWritable,0,13,0,0,17,45,38,5,66
0.6.0-org.apache.hadoop.io.VersionMismatchException,0,7,1,0,7,15,1,3,67
0.6.0-org.apache.hadoop.io.Writable,0,4,2,0,4,7,4,2,68
0.6.0-org.apache.hadoop.io.WritableComparable,0,33,1,0,34,91,236,19,69
0.6.0-org.apache.hadoop.io.WritableComparator,0,8,0,0,14,33,26,4,73
0.6.0-org.apache.hadoop.io.WritableFactories,0,20,1,0,13,44,126,9,75
0.6.0-org.apache.hadoop.io.WritableFactory,0,3,1,0,10,22,0,3,75
0.6.0-org.apache.hadoop.io.WritableName,0,3,1,0,13,36,0,3,77
0.6.0-org.apache.hadoop.io.WritableUtils,0,24,2,0,39,111,32,8,83
0.6.0-org.apache.hadoop.ipc.Client,0,59,3,2,73,173,163,39,85
0.6.0-org.apache.hadoop.ipc.RemoteException,0,10,0,0,18,67,0,3,85
0.6.0-org.apache.hadoop.ipc.RPC,0,35,0,0,41,172,99,28,86
0.6.0-org.apache.hadoop.ipc.Server,0,54,2,2,43,121,389,47,87
0.6.0-org.apache.hadoop.ipc.SocketChannelOutputStream,0,2,0,1,5,9,1,2,87
0.6.0-org.apache.hadoop.ipc.VersionedProtocol,0,2,1,0,95,2,1,2,87
0.6.0-org.apache.hadoop.mapred.ClusterStatus,0,17,2,8,79,29,122,13,91
0.6.0-org.apache.hadoop.mapred.CombiningCollector,0,6,1,0,20,13,9,4,91
0.6.0-org.apache.hadoop.mapred.FileSplit,0,1,1,0,28,1,0,1,92
0.6.0-org.apache.hadoop.mapred.getMapOutput_jsp,0,6,1,0,2,14,0,4,92
0.6.0-org.apache.hadoop.mapred.InputFormat,0,20,1,0,19,53,188,19,92
0.6.0-org.apache.hadoop.mapred.InputFormatBase,0,2,2,0,2,4,1,0,99
0.6.0-org.apache.hadoop.mapred.InterTrackerProtocol,0,3,1,0,4,9,1,0,103
0.6.0-org.apache.hadoop.mapred.IsolationRunner,0,20,3,1,22,60,80,8,104
0.6.0-org.apache.hadoop.mapred.JobClient,1,16,5,0,14,79,25,9,107
0.6.0-org.apache.hadoop.mapred.JobConf,1,2,3,0,2,6,0,1,110
0.6.0-org.apache.hadoop.mapred.JobConfigurable,0,3,2,0,4,20,1,1,116
0.6.0-org.apache.hadoop.mapred.jobcontrol.Job,0,3,0,0,4,5,0,2,119
0.6.0-org.apache.hadoop.mapred.jobcontrol.JobControl,0,5,1,0,3,8,0,2,123
0.6.0-org.apache.hadoop.mapred.jobdetails_jsp,0,13,1,0,18,37,64,6,125
0.6.0-org.apache.hadoop.mapred.jobfailures_jsp,0,10,1,0,8,25,1,10,126
0.6.0-org.apache.hadoop.mapred.JobInProgress,1,5,1,0,17,40,1,5,128
0.6.0-org.apache.hadoop.mapred.JobProfile,0,29,5,1,14,58,232,10,128
0.6.0-org.apache.hadoop.mapred.JobStatus,1,17,2,0,10,61,28,6,136
0.6.0-org.apache.hadoop.mapred.JobSubmissionProtocol,0,3,2,0,6,52,1,2,136
0.6.0-org.apache.hadoop.mapred.jobtasks_jsp,0,7,2,0,4,73,0,2,137
0.6.0-org.apache.hadoop.mapred.jobtracker_jsp,0,9,0,0,9,28,22,6,138
0.6.0-org.apache.hadoop.mapred.lib.HashPartitioner,0,1,1,0,11,1,0,1,143
0.6.0-org.apache.hadoop.mapred.lib.IdentityMapper,0,9,1,0,11,14,6,6,144
0.6.0-org.apache.hadoop.mapred.lib.IdentityReducer,0,2,1,0,3,4,1,1,151
0.6.0-org.apache.hadoop.mapred.lib.InverseMapper,0,4,1,0,11,25,0,4,152
0.6.0-org.apache.hadoop.mapred.lib.LongSumReducer,0,3,0,0,8,5,3,3,155
0.6.0-org.apache.hadoop.mapred.lib.RegexMapper,0,10,1,0,17,24,0,9,159
0.6.0-org.apache.hadoop.mapred.lib.TokenCountMapper,0,3,0,0,9,34,3,3,165
0.6.0-org.apache.hadoop.mapred.LocalJobRunner,1,13,2,2,23,39,42,7,168
0.6.0-org.apache.hadoop.mapred.machines_jsp,0,6,1,0,7,6,15,6,174
0.6.0-org.apache.hadoop.mapred.MapFileOutputFormat,0,6,2,0,17,59,9,2,176
0.6.0-org.apache.hadoop.mapred.MapOutputFile,0,9,1,0,5,19,36,7,178
0.6.0-org.apache.hadoop.mapred.Mapper,0,74,0,0,49,125,2701,71,182
0.6.0-org.apache.hadoop.mapred.MapReduceBase,0,1,1,0,8,1,0,1,182
0.6.0-org.apache.hadoop.mapred.MapRunnable,0,21,1,0,8,46,64,20,185
0.6.0-org.apache.hadoop.mapred.MapRunner,0,22,1,0,1,43,143,14,186
0.6.0-org.apache.hadoop.mapred.MapTask,0,52,1,0,58,292,169,34,186
0.6.0-org.apache.hadoop.mapred.MapTaskRunner,0,2,1,0,2,4,1,1,201
0.6.0-org.apache.hadoop.mapred.MRConstants,0,15,1,0,17,26,35,10,204
0.6.0-org.apache.hadoop.mapred.OutputCollector,0,2,1,0,3,4,1,1,205
0.6.0-org.apache.hadoop.mapred.OutputFormat,0,9,1,0,9,9,36,9,217
0.6.0-org.apache.hadoop.mapred.OutputFormatBase,0,3,0,0,8,38,3,3,218
0.6.0-org.apache.hadoop.mapred.Partitioner,0,46,1,0,37,184,645,33,219
0.6.0-org.apache.hadoop.mapred.RecordReader,0,6,1,0,7,34,0,4,220
0.6.0-org.apache.hadoop.mapred.RecordWriter,0,3,1,0,2,17,0,3,220
0.6.0-org.apache.hadoop.mapred.Reducer,0,3,1,0,3,11,0,3,225
0.6.0-org.apache.hadoop.mapred.ReduceTask,0,19,3,0,32,45,6,12,225
0.6.0-org.apache.hadoop.mapred.Reporter,0,5,0,0,13,21,10,5,228
0.6.0-org.apache.hadoop.mapred.RunningJob,0,3,1,0,6,6,0,2,230
0.6.0-org.apache.hadoop.mapred.SequenceFileInputFilter,0,27,7,9,70,67,18,24,236
0.6.0-org.apache.hadoop.mapred.SequenceFileInputFormat,0,14,0,0,36,69,23,11,237
0.6.0-org.apache.hadoop.mapred.SequenceFileOutputFormat,0,4,2,0,11,13,1,2,238
0.6.0-org.apache.hadoop.mapred.SequenceFileRecordReader,0,6,1,0,7,19,0,5,260
0.6.0-org.apache.hadoop.mapred.StatusHttpServer,0,3,1,0,5,6,0,0,264
0.6.0-org.apache.hadoop.mapred.Task,0,13,1,0,15,56,15,9,267
0.6.0-org.apache.hadoop.mapred.taskdetails_jsp,0,3,1,0,4,17,1,2,270
0.6.0-org.apache.hadoop.mapred.TaskInProgress,0,4,1,0,3,27,0,3,270
0.6.0-org.apache.hadoop.mapred.TaskReport,0,0,1,0,3,0,0,0,277
0.6.0-org.apache.hadoop.mapred.TaskRunner,1,3,2,0,28,3,1,3,280
0.6.0-org.apache.hadoop.mapred.TaskStatus,0,7,1,3,9,22,21,7,287
0.6.0-org.apache.hadoop.mapred.TaskTracker,1,36,5,0,101,120,72,29,287
0.6.0-org.apache.hadoop.mapred.tasktracker_jsp,0,3,1,0,13,43,3,2,291
0.6.0-org.apache.hadoop.mapred.TaskTrackerStatus,0,4,3,0,10,18,0,2,292
0.6.0-org.apache.hadoop.mapred.TaskUmbilicalProtocol,0,3,1,0,4,6,0,0,297
0.6.0-org.apache.hadoop.mapred.TextInputFormat,1,18,0,0,20,67,30,14,300
0.6.0-org.apache.hadoop.mapred.TextOutputFormat,0,7,0,1,24,32,9,6,308
0.6.0-org.apache.hadoop.metrics.ContextFactory,0,3,1,0,6,6,0,2,310
0.6.0-org.apache.hadoop.metrics.file.FileContext,0,11,1,1,11,28,0,8,311
0.6.0-org.apache.hadoop.metrics.ganglia.GangliaContext,0,10,1,0,14,48,15,8,314
0.6.0-org.apache.hadoop.metrics.Metrics,0,20,1,2,26,39,98,19,338
0.6.0-org.apache.hadoop.metrics.MetricsContext,0,3,1,0,4,6,0,2,342
0.6.0-org.apache.hadoop.metrics.MetricsException,0,4,0,0,6,36,6,4,351
0.6.0-org.apache.hadoop.metrics.MetricsRecord,0,28,1,0,17,83,144,20,351
0.6.0-org.apache.hadoop.metrics.spi.AbstractMetricsContext,0,70,7,2,73,267,150,46,358
0.6.0-org.apache.hadoop.metrics.spi.MetricsRecordImpl,0,5,0,0,4,35,8,3,362
0.6.0-org.apache.hadoop.metrics.spi.MetricValue,0,2,1,0,5,8,0,1,365
0.6.0-org.apache.hadoop.metrics.spi.NullContext,0,2,2,0,2,4,0,1,377
0.6.0-org.apache.hadoop.metrics.spi.OutputRecord,0,3,1,0,2,11,0,3,395
0.6.0-org.apache.hadoop.metrics.spi.Util,0,3,1,0,12,34,3,2,400
0.6.0-org.apache.hadoop.metrics.Updater,0,2,1,0,5,13,0,1,404
0.6.0-org.apache.hadoop.net.DNS,0,15,1,0,11,62,0,13,404
0.6.0-org.apache.hadoop.record.BinaryInputArchive,0,16,2,0,19,41,35,13,415
