release.version.revision-className,faulty,WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC
0.3.0-org.apache.hadoop.conf.Configurable,0,2,1,0,8,2,1,2,2
0.3.0-org.apache.hadoop.conf.Configured,0,3,1,1,3,4,1,3,17
0.3.0-org.apache.hadoop.dfs.AlreadyBeingCreatedException,0,1,4,0,1,2,0,1,5
0.3.0-org.apache.hadoop.dfs.Block,0,18,2,0,24,39,57,15,199
0.3.0-org.apache.hadoop.dfs.BlockCommand,0,15,2,0,12,33,5,12,310
0.3.0-org.apache.hadoop.dfs.ClientProtocol,0,21,1,0,10,21,210,21,21
0.3.0-org.apache.hadoop.dfs.DataNode,1,39,3,0,44,219,188,15,2092
0.3.0-org.apache.hadoop.dfs.DatanodeID,0,4,1,0,9,69,0,2,861
0.3.0-org.apache.hadoop.dfs.DatanodeRegistration,0,7,2,0,8,9,11,6,16
0.3.0-org.apache.hadoop.dfs.DataNodeReport,0,8,0,0,10,21,10,6,114
0.3.0-org.apache.hadoop.dfs.DataStorage,0,2,1,0,3,4,1,1,9
0.3.0-org.apache.hadoop.dfs.DFSck,0,18,2,0,5,44,17,18,300
0.3.0-org.apache.hadoop.dfs.DFSClient,1,88,6,0,48,310,461,60,3060
0.3.0-org.apache.hadoop.dfs.DFSFileInfo,0,16,1,0,17,94,0,7,990
0.3.0-org.apache.hadoop.dfs.DfsPath,0,14,1,0,15,41,31,12,178
0.3.0-org.apache.hadoop.dfs.DFSShell,0,2,1,0,3,4,1,1,9
0.3.0-org.apache.hadoop.dfs.FSConstants,1,20,1,0,9,70,8,10,993
0.3.0-org.apache.hadoop.dfs.IncorrectVersionException,0,11,1,0,3,29,0,11,185
0.3.0-org.apache.hadoop.dfs.LeaseExpiredException,0,2,1,0,4,18,0,1,107
0.3.0-org.apache.hadoop.dfs.LocatedBlock,0,2,8,0,3,8,0,2,38
0.3.0-org.apache.hadoop.dfs.NameNode,1,4,1,0,7,24,0,3,112
0.3.0-org.apache.hadoop.dfs.NotReplicatedYetException,0,3,1,0,3,14,0,2,54
0.3.0-org.apache.hadoop.fs.ChecksumException,0,2,4,0,4,9,1,2,38
0.3.0-org.apache.hadoop.fs.DF,0,3,1,0,1,11,3,2,80
0.3.0-org.apache.hadoop.fs.FileUtil,0,1,4,0,2,2,0,1,5
0.3.0-org.apache.hadoop.fs.FSDataInputStream,0,40,2,2,33,153,204,16,1442
0.3.0-org.apache.hadoop.fs.FSError,0,2,1,0,3,4,1,1,16
0.3.0-org.apache.hadoop.fs.FSInputStream,0,2,1,0,3,6,0,1,22
0.3.0-org.apache.hadoop.fs.FSOutputStream,0,9,1,0,11,40,36,6,390
0.3.0-org.apache.hadoop.fs.Path,1,4,3,0,3,7,0,4,39
0.3.0-org.apache.hadoop.fs.PathFilter,0,6,4,0,20,12,15,2,75
0.3.0-org.apache.hadoop.io.ArrayFile,0,30,1,1,62,71,33,28,535
0.3.0-org.apache.hadoop.io.ArrayWritable,0,1,1,0,4,1,0,1,1
0.3.0-org.apache.hadoop.io.BooleanWritable,0,12,1,0,12,47,43,6,596
0.3.0-org.apache.hadoop.io.BytesWritable,0,22,1,0,19,98,76,4,1064
0.3.0-org.apache.hadoop.io.Closeable,0,2,1,0,2,3,1,1,6
0.3.0-org.apache.hadoop.io.CompressedWritable,0,2,0,2,10,17,1,0,112
0.3.0-org.apache.hadoop.io.DataInputBuffer,0,4,0,0,12,29,1,4,188
0.3.0-org.apache.hadoop.io.DataOutputBuffer,0,23,0,0,45,125,20,18,1153
0.3.0-org.apache.hadoop.io.FloatWritable,0,9,0,0,20,62,8,7,443
0.3.0-org.apache.hadoop.io.IntWritable,0,9,0,0,4,23,22,6,366
0.3.0-org.apache.hadoop.io.LongWritable,0,20,1,0,16,46,0,19,283
0.3.0-org.apache.hadoop.io.MapFile,0,27,2,0,8,51,14,23,321
0.3.0-org.apache.hadoop.io.MD5Hash,0,3,1,0,5,7,1,3,34
0.3.0-org.apache.hadoop.io.NullWritable,0,6,1,0,1,21,9,3,95
0.3.0-org.apache.hadoop.io.SetFile,0,32,2,2,20,92,91,28,774
0.3.0-org.apache.hadoop.io.TwoDArrayWritable,0,2,0,0,3,6,1,2,33
0.3.0-org.apache.hadoop.io.UTF8,0,8,2,0,13,14,1,5,84
0.3.0-org.apache.hadoop.io.VersionMismatchException,0,24,1,0,26,72,150,14,767
0.3.0-org.apache.hadoop.io.Writable,0,20,1,0,12,41,122,8,261
0.3.0-org.apache.hadoop.io.WritableComparable,0,3,1,0,10,22,0,3,92
0.3.0-org.apache.hadoop.io.WritableComparator,0,3,1,0,12,34,0,3,210
0.3.0-org.apache.hadoop.io.WritableFactories,0,6,0,0,13,34,0,4,159
0.3.0-org.apache.hadoop.io.WritableFactory,0,5,1,0,6,20,0,2,96
0.3.0-org.apache.hadoop.io.WritableUtils,0,20,1,0,28,68,45,14,483
0.3.0-org.apache.hadoop.ipc.Client,0,45,0,0,58,222,35,25,2516
0.3.0-org.apache.hadoop.ipc.RemoteException,0,5,0,0,9,23,10,5,65
0.3.0-org.apache.hadoop.ipc.RPC,0,17,0,2,17,55,9,15,322
0.3.0-org.apache.hadoop.ipc.Server,0,41,4,0,51,102,67,35,990
0.3.0-org.apache.hadoop.mapred.ClusterStatus,0,8,2,0,30,21,5,5,126
0.3.0-org.apache.hadoop.mapred.CombiningCollector,0,15,1,0,9,46,103,14,392
0.3.0-org.apache.hadoop.mapred.FileSplit,0,2,2,0,2,4,1,0,10
0.3.0-org.apache.hadoop.mapred.getMapOutput_jsp,0,3,1,0,4,9,1,0,31
0.3.0-org.apache.hadoop.mapred.InterTrackerProtocol,1,6,2,0,10,53,1,4,357
0.3.0-org.apache.hadoop.mapred.JobConf,0,3,0,0,4,5,0,2,28
0.3.0-org.apache.hadoop.mapred.JobConfigurable,0,5,1,0,3,8,0,2,53
0.3.0-org.apache.hadoop.mapred.jobdetails_jsp,0,2,4,0,4,3,0,2,13
