release.version.revision-className,faulty,WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC
0.7.0-org.apache.hadoop.conf.Configurable,0,2,1,0,13,2,1,2,2
0.7.0-org.apache.hadoop.conf.Configuration,0,45,1,1,106,160,840,37,1285
0.7.0-org.apache.hadoop.conf.Configured,0,3,1,2,4,4,1,3,17
0.7.0-org.apache.hadoop.dfs.AlreadyBeingCreatedException,0,1,1,0,1,2,0,0,7
0.7.0-org.apache.hadoop.dfs.Block,0,16,5,0,29,33,41,15,176
0.7.0-org.apache.hadoop.dfs.browseBlock_jsp,0,2,1,0,3,4,1,1,9
0.7.0-org.apache.hadoop.dfs.browseDirectory_jsp,0,6,0,0,9,61,9,5,1187
0.7.0-org.apache.hadoop.dfs.ClientProtocol,0,5,0,0,11,62,8,4,545
0.7.0-org.apache.hadoop.dfs.DataNode,1,85,4,0,86,333,494,45,3449
0.7.0-org.apache.hadoop.dfs.DatanodeDescriptor,0,2,1,0,6,32,0,2,220
0.7.0-org.apache.hadoop.dfs.DatanodeID,0,4,1,0,12,79,0,2,1014
0.7.0-org.apache.hadoop.dfs.DatanodeInfo,0,13,1,0,14,39,1,3,205
0.7.0-org.apache.hadoop.dfs.DatanodeRegistration,0,14,1,2,30,37,13,9,238
0.7.0-org.apache.hadoop.dfs.DataNodeReport,0,5,1,0,6,5,10,5,8
0.7.0-org.apache.hadoop.dfs.DataStorage,0,7,0,0,10,16,3,6,66
0.7.0-org.apache.hadoop.dfs.DFSFileInfo,0,15,1,0,16,86,0,6,953
0.7.0-org.apache.hadoop.dfs.dfshealth_jsp,0,2,1,0,4,13,0,1,62
0.7.0-org.apache.hadoop.dfs.DfsPath,0,13,1,0,16,37,18,12,159
0.7.0-org.apache.hadoop.dfs.DFSShell,1,2,1,0,3,4,1,1,9
0.7.0-org.apache.hadoop.dfs.DistributedFileSystem,0,7,0,0,7,51,3,7,546
0.7.0-org.apache.hadoop.dfs.FSConstants,1,35,0,0,16,101,0,20,1490
0.7.0-org.apache.hadoop.dfs.FSDataset,1,57,4,0,43,146,37,48,971
0.7.0-org.apache.hadoop.dfs.IncorrectVersionException,0,2,1,0,4,18,0,1,107
0.7.0-org.apache.hadoop.dfs.JspHelper,1,17,1,0,10,39,18,1,436
0.7.0-org.apache.hadoop.dfs.LeaseExpiredException,0,2,1,0,3,7,0,1,29
0.7.0-org.apache.hadoop.dfs.LocatedBlock,0,10,5,0,13,70,22,9,433
0.7.0-org.apache.hadoop.dfs.nn_005fbrowsedfscontent_jsp,0,4,1,0,3,13,0,3,67
0.7.0-org.apache.hadoop.dfs.NotReplicatedYetException,0,40,1,0,27,125,0,36,1058
0.7.0-org.apache.hadoop.dfs.SafeModeException,0,1,1,0,2,3,0,0,28
0.7.0-org.apache.hadoop.dfs.StreamFile,0,5,1,0,3,8,0,0,87
0.7.0-org.apache.hadoop.dfs.tail_jsp,0,4,0,0,3,34,4,4,178
0.7.0-org.apache.hadoop.dfs.UnregisteredDatanodeException,0,1,4,0,1,2,0,1,5
0.7.0-org.apache.hadoop.fs.ChecksumException,0,2,1,0,1,7,1,2,47
0.7.0-org.apache.hadoop.fs.DF,0,2,1,0,5,29,1,1,125
0.7.0-org.apache.hadoop.fs.FileSystem,0,13,2,0,36,141,9,10,916
0.7.0-org.apache.hadoop.fs.FSDataOutputStream,0,43,6,0,37,159,209,22,1443
0.7.0-org.apache.hadoop.fs.FSError,0,2,0,2,10,17,1,0,112
