release.version.revision-className,faulty,WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC
0.2.0-org.apache.hadoop.conf.Configurable,0,45,1,0,19,153,400,27,3446
0.2.0-org.apache.hadoop.conf.Configuration,0,2,1,0,3,6,1,1,39
0.2.0-org.apache.hadoop.conf.Configured,0,5,1,0,2,7,2,4,42
0.2.0-org.apache.hadoop.dfs.Block$1,0,11,1,0,3,29,0,11,185
0.2.0-org.apache.hadoop.dfs.ClientProtocol,1,2,1,0,3,4,1,1,9
0.2.0-org.apache.hadoop.dfs.ClusterTestDFSNamespaceLogging,1,3,1,0,3,14,0,2,54
0.2.0-org.apache.hadoop.dfs.DataNode$DataXceiveServer,0,1,4,0,1,2,0,1,5
0.2.0-org.apache.hadoop.dfs.DatanodeInfo$1,0,5,0,0,7,28,10,2,164
0.2.0-org.apache.hadoop.dfs.DFSClient$LeaseChecker,0,1,4,0,2,2,0,1,5
0.2.0-org.apache.hadoop.dfs.DfsPath,0,3,0,0,11,30,3,2,227
0.2.0-org.apache.hadoop.dfs.DFSShell,0,61,0,2,54,98,1826,59,643
0.2.0-org.apache.hadoop.dfs.DistributedFileSystem,1,2,1,0,3,4,1,1,16
0.2.0-org.apache.hadoop.dfs.FSConstants,1,2,1,0,3,6,0,1,22
0.2.0-org.apache.hadoop.dfs.FSNamesystem$LeaseMonitor,0,4,3,0,6,18,0,3,132
0.2.0-org.apache.hadoop.dfs.MiniDFSCluster$NameNodeRunner,0,6,0,2,13,20,13,4,110
0.2.0-org.apache.hadoop.fs.ChecksumException,0,2,1,0,2,3,1,1,6
0.2.0-org.apache.hadoop.fs.DF,0,2,0,2,9,17,1,0,112
0.2.0-org.apache.hadoop.fs.DistributedFSCheck$DistributedFSCheckMapper,0,2,0,0,6,15,1,2,80
0.2.0-org.apache.hadoop.fs.FileUtil,0,5,0,0,15,32,2,5,201
0.2.0-org.apache.hadoop.fs.FSDataInputStream,0,5,0,0,14,35,2,5,247
0.2.0-org.apache.hadoop.fs.FSError,0,14,1,0,3,27,0,12,175
0.2.0-org.apache.hadoop.fs.FSInputStream,0,2,0,0,2,6,1,2,33
0.2.0-org.apache.hadoop.fs.FSOutputStream,0,1,1,0,3,1,0,1,1
0.2.0-org.apache.hadoop.fs.IOMapperBase,0,6,1,0,1,21,9,3,95
0.2.0-org.apache.hadoop.fs.PathFilter,0,6,3,0,2,10,7,4,63
0.2.0-org.apache.hadoop.fs.Seekable,0,12,1,0,3,22,10,10,110
0.2.0-org.apache.hadoop.fs.TestPath,0,12,1,2,14,44,0,10,569
0.2.0-org.apache.hadoop.io.ArrayWritable,0,5,1,0,3,6,8,3,18
0.2.0-org.apache.hadoop.io.BooleanWritable$Comparator,0,5,1,0,3,16,0,4,52
0.2.0-org.apache.hadoop.io.Closeable,0,5,1,0,4,9,0,5,47
0.2.0-org.apache.hadoop.io.CompressedWritable,0,3,1,0,8,5,1,0,37
0.2.0-org.apache.hadoop.io.DataOutputBuffer$Buffer,0,3,1,0,10,33,0,3,207
0.2.0-org.apache.hadoop.io.IntWritable,0,10,1,0,11,40,11,3,517
0.2.0-org.apache.hadoop.io.LongWritable$Comparator,0,5,0,0,7,10,10,5,39
0.2.0-org.apache.hadoop.io.MapFile$Writer,0,4,0,0,4,17,4,3,235
0.2.0-org.apache.hadoop.io.NullWritable,0,6,0,0,6,29,13,5,139
0.2.0-org.apache.hadoop.io.RandomDatum$Generator,0,3,0,0,2,4,1,2,12
0.2.0-org.apache.hadoop.io.TwoDArrayWritable,0,4,1,1,7,8,6,3,55
0.2.0-org.apache.hadoop.io.VersionedWritable,0,2,3,0,3,6,0,1,29
0.2.0-org.apache.hadoop.io.VersionMismatchException,0,3,0,0,4,5,0,2,28
0.2.0-org.apache.hadoop.io.Writable,0,5,1,0,3,8,0,2,53
0.2.0-org.apache.hadoop.io.WritableComparable,0,2,4,0,4,3,0,2,13
